,,Iris-setosa,Iris-versicolor,Iris-virginica
petal_length,count,50.0,50.0,50.0
petal_length,mean,1.464,4.26,5.5520000000000005
petal_length,std,0.17351115943644546,0.46991097723995795,0.5518946956639834
petal_length,min,1.0,3.0,4.5
petal_length,25%,1.4,4.0,5.1
petal_length,50%,1.5,4.35,5.55
petal_length,75%,1.5750000000000002,4.6,5.875000000000001
petal_length,max,1.9,5.1,6.9
petal_width,count,50.0,50.0,50.0
petal_width,mean,0.244,1.3259999999999998,2.0260000000000002
petal_width,std,0.1072095030816784,0.19775268000454405,0.2746500556366674
petal_width,min,0.1,1.0,1.4
petal_width,25%,0.2,1.2,1.8
petal_width,50%,0.2,1.3,2.0
petal_width,75%,0.3,1.5,2.3
petal_width,max,0.6,1.8,2.5
sepal_length,count,50.0,50.0,50.0
sepal_length,mean,5.006,5.936,6.587999999999998
sepal_length,std,0.35248968721345136,0.5161711470638634,0.6358795932744322
sepal_length,min,4.3,4.9,4.9
sepal_length,25%,4.8,5.6,6.2250000000000005
sepal_length,50%,5.0,5.9,6.5
sepal_length,75%,5.2,6.3,6.9
sepal_length,max,5.8,7.0,7.9
sepal_width,count,50.0,50.0,50.0
sepal_width,mean,3.418,2.7700000000000005,2.974
sepal_width,std,0.38102439795469095,0.3137983233784114,0.32249663817263746
sepal_width,min,2.3,2.0,2.2
sepal_width,25%,3.125,2.525,2.8
sepal_width,50%,3.4,2.8,3.0
sepal_width,75%,3.6750000000000003,3.0,3.1750000000000003
sepal_width,max,4.4,3.4,3.8
